Name
ARES - Project Phobos - 2022
SAFETY DAVE - Caravan Mover Mechanical Design
ARES- Project Deimos - 2023
SAFETY DAVE - Caravan Mover Electronics
ARES - Project Florence - 2024
ARES - Hybrid Rocket Engine
ARES - Novel Parachute Recovery
